sbi_trust_code,ER,title,fee,last_day,firm
204314208,0.3096,大和－ｉＦｒｅｅレバレッジ,1.275％以内,無期限,大和アセットマネジメント
20431720A,0.3027,大和－ＮＡＳＤＡＱ１００,通常時1.52375％以内／安定運用時0.088％,2023/10/20,大和アセットマネジメント
210311222,0.2445,Ｔ＆Ｄ－Ｓ＆Ｐ５００・４倍ブル型ファンド,1.243％,2025/02/17,Ｔ＆Ｄアセットマネジメント
204313215,0.226,大和－テーマレバレッジ,1.4055％程度,2026/03/27,大和アセットマネジメント
20431B214,0.2191,大和－ｉＦｒｅｅレバレッジ,1.224％程度,無期限,大和アセットマネジメント
20431218A,0.1959,大和－ｉＦｒｅｅレバレッジ,0.99%,無期限,大和アセットマネジメント
202311207,0.1933,日興－デジタル・トランスフォーメーション株式ファンド,1.7985％,2030/06/07,日興アセットマネジメント
202311215,0.1898,日興－デジタル・トランスフォーメーション株式ファンド（予想分配金提示型）,1.7985％,2030/06/07,日興アセットマネジメント
28931317C,0.1849,ＳＢＩ－ＳＢＩ,0.968%,2023/12/05,ＳＢＩアセットマネジメント
29I31115A,0.1848,楽天－楽天日本株４．３倍ブル,1.243%,2025/06/13,楽天投信投資顧問
204311181,0.1786,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
203313195,0.1769,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.792%以内,無期限,三菱ＵＦＪ国際投信
204312212,0.1766,大和－ｉＦｒｅｅレバレッジ,1.169％程度,無期限,大和アセットマネジメント
203313215,0.1751,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
20231116C,0.1726,日興－グローバル・フィンテック株式ファンド,1.925%,2026/12/07,日興アセットマネジメント
202312179,0.1721,日興－グローバル・フィンテック株式ファンド（年２回決算型）,null,null,null
20331419B,0.1719,三菱ＵＦＪ国際－米国ＩＰＯニューステージ・ファンド＜為替ヘッジなし＞年２回決算型,null,null,null
20331319B,0.1716,三菱ＵＦＪ国際－米国ＩＰＯニューステージ・ファンド＜為替ヘッジなし＞資産成長型,null,null,null
204314214,0.1669,大和－テーマレバレッジ,1.4055％程度,2026/03/27,大和アセットマネジメント
