sbi_trust_code,ER,title,fee,last_day,firm
20431B214,0.5379,大和－ｉＦｒｅｅレバレッジ,1.224％程度,無期限,大和アセットマネジメント
204315213,0.3177,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
20231217B,0.1714,日興－深セン・イノベーション株式ファンド（１年決算型）,null,null,null
251311021,0.1697,ＨＳＢＣ－ＨＳＢＣ,null,null,null
204314214,0.1655,大和－テーマレバレッジ,1.4055％程度,2026/03/27,大和アセットマネジメント
250311092,0.1649,ＵＢＳ－ＵＢＳ原油先物ファンド,null,null,null
203312215,0.1583,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
2AB311171,0.151,ファイブスター－ベトナム・ロータス・ファンド,null,null,null
20431216C,0.1452,大和－ベトナム株ファンド,null,null,null
29A311128,0.1451,キャピタル－世界シェールガス株ファンド,null,null,null
204311181,0.1433,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
29A311148,0.1397,キャピタル－ベトナム成長株インカムファンド,null,null,null
27931C01A,0.1394,三井住友ＤＳ－三井住友・ニュー・チャイナ・ファンド,null,null,null
247311156,0.1348,Ｏｎｅ－ＤＩＡＭベトナム株式ファンド,null,null,null
289312203,0.1329,ＳＢＩ－ＳＢＩ中国テクノロジー株ファンド,null,null,null
21731798B,0.1309,ＪＰＭ－ＪＰＭアジア株・アクティブ・オープン,null,null,null
204312217,0.1306,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
204314208,0.1299,大和－ｉＦｒｅｅレバレッジ,1.275％以内,無期限,大和アセットマネジメント
101315203,0.1284,野村－野村ブル・ベア,1.122％,2023/03/15,野村アセットマネジメント
24831L139,0.1261,ブラックロック－ｉシェアーズ,1.0085%程度,無期限,ブラックロック・ジャパン
210311202,0.1255,Ｔ＆Ｄ－Ｔ＆Ｄ,null,null,null
203313215,0.1238,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
279312107,0.1228,三井住友ＤＳ－ベトナム株式ファンド,null,null,null
289312218,0.1192,ＳＢＩ－ＳＢＩ・ＧＳ,0.48％程度,無期限,ＳＢＩアセットマネジメント
217311917,0.1189,ＪＰＭ－ＪＰＭアジア・成長株・ファンド,null,null,null
204314181,0.1178,大和－ｉＦｒｅｅＡｃｔｉｖｅ,1.221%,2028/01/28,大和アセットマネジメント
203317211,0.1159,三菱ＵＦＪ国際－ベイリー・ギフォード世界長期成長株ファンド（予想分配金提示型）,1.6445％程度,2039/01/25,三菱ＵＦＪ国際投信
289311217,0.1155,ＳＢＩ－ＳＢＩ・中国Ａ株インデックス・ファンド,0.4138％程度,無期限,ＳＢＩアセットマネジメント
203311191,0.1153,三菱ＵＦＪ国際－ベイリー・ギフォード世界長期成長株ファンド,1.6445%程度,2039/01/25,三菱ＵＦＪ国際投信
209312134,0.1137,岡三－シェール関連株オープン,null,null,null
20231314B,0.1125,日興－インデックスファンドＭＬＰ（１年決算型）,null,null,null
101314203,0.1108,野村－野村ブル・ベア,1.155％,2023/03/15,野村アセットマネジメント
20331419B,0.109,三菱ＵＦＪ国際－米国ＩＰＯニューステージ・ファンド＜為替ヘッジなし＞年２回決算型,null,null,null
20331319B,0.1088,三菱ＵＦＪ国際－米国ＩＰＯニューステージ・ファンド＜為替ヘッジなし＞資産成長型,null,null,null
247312201,0.1073,Ｏｎｅ－Ｏｎｅフォーカス,null,null,null
289313218,0.1071,ＳＢＩ－ＳＢＩ・ＧＳ,0.48％程度,無期限,ＳＢＩアセットマネジメント
279311169,0.1055,三井住友ＤＳ－グローバルＡＩファンド,null,null,null
289311218,0.1055,ＳＢＩ－ＳＢＩ・ＧＳ,0.48％程度,無期限,ＳＢＩアセットマネジメント
235312149,0.0977,ＧＳ－ＧＳ,null,null,null
233311963,0.0973,ベアリングス－アジア未来成長株式ファンド,null,null,null
20331C177,0.0972,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.187%以内,無期限,三菱ＵＦＪ国際投信
247311163,0.0972,Ｏｎｅ－たわらノーロード,0.374%以内,無期限,アセットマネジメントＯｎｅ
20331809A,0.0969,三菱ＵＦＪ国際－ｅＭＡＸＩＳ新興国株式インデックス,null,null,null
27931419A,0.0959,三井住友ＤＳ－グローバルＡＩファンド（予想分配金提示型）,null,null,null
26431208C,0.0956,三井住友ＴＡＭ－ＳＭＴ,null,null,null
22931517A,0.0945,ニッセイ－＜購入・換金手数料なし＞ニッセイ新興国株式インデックスファンド,0.2079%以内,無期限,ニッセイアセットマネジメント
204314086,0.0932,大和－“ＲＩＣＩ”コモディティ・ファンド,null,null,null
20131613B,0.0931,野村－米国エネルギー革命関連ファンド（年１回決算型）為替ヘッジなし,null,null,null
202311207,0.0928,日興－デジタル・トランスフォーメーション株式ファンド,1.7985％,2030/06/07,日興アセットマネジメント
201313135,0.0927,野村－米国エネルギー革命関連ファンドＢコース（為替ヘッジなし）,1.793%程度,2023/09/27,野村アセットマネジメント
28931117C,0.0912,ＳＢＩ－ＳＢＩ・新興国株式インデックス・ファンド,0.176%程度,無期限,ＳＢＩアセットマネジメント
202311215,0.0912,日興－デジタル・トランスフォーメーション株式ファンド（予想分配金提示型）,1.7985％,2030/06/07,日興アセットマネジメント
26431218A,0.0906,三井住友ＴＡＭ－ＳＭＴ,null,null,null
20331E13A,0.0905,三菱ＵＦＪ国際－三菱ＵＦＪ,1.815%,2023/10/11,三菱ＵＦＪ国際投信
203312223,0.0896,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
26431113C,0.0894,三井住友ＴＡＭ－ＳＭＴＡＭコモディティ・オープン,null,null,null
289312135,0.0884,ＳＢＩ－ＥＸＥ－ｉ新興国株式ファンド,null,null,null
204313181,0.0869,大和－ｉＦｒｅｅＡｃｔｉｖｅ,null,null,null
235311135,0.0867,ＧＳ－ＧＳ,2.0075%,無期限,ゴールドマン・サックス・アセット・マネジメント
247311136,0.0862,Ｏｎｅ－ＤＩＡＭシェール株ファンド,null,null,null
20331713A,0.0859,三菱ＵＦＪ国際－三菱ＵＦＪ,1.815%,2023/10/11,三菱ＵＦＪ国際投信
203313195,0.0851,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.792%以内,無期限,三菱ＵＦＪ国際投信
203311156,0.0836,三菱ＵＦＪ国際－ｅＭＡＸＩＳプラス,0.9%程度,無期限,三菱ＵＦＪ国際投信
247316169,0.0816,Ｏｎｅ－グローバル・ハイクオリティ成長株式ファンド（為替ヘッジなし）,null,null,null
242313177,0.0814,ピクテ－ｉＴｒｕｓｔプレミアム・ブランド,null,null,null
26431117C,0.0809,三井住友ＴＡＭ－次世代通信関連,1.848%程度,2028/01/07,三井住友トラスト・アセットマネジメント
204312211,0.08,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
203312968,0.08,三菱ＵＦＪ国際－三菱ＵＦＪ,null,null,null
203311061,0.08,三菱ＵＦＪ国際－世界資源株ファンド,null,null,null
203319211,0.0786,三菱ＵＦＪ国際－サイバーセキュリティ株式オープン為替ヘッジなし予想分配金提示型,null,null,null
203315177,0.0785,三菱ＵＦＪ国際－サイバーセキュリティ株式オープン（為替ヘッジなし）,1.87%,2032/06/04,三菱ＵＦＪ国際投信
20431R169,0.075,大和－ｉＦｒｅｅ,0.374%,無期限,大和アセットマネジメント
20331318C,0.0736,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.792%以内,無期限,三菱ＵＦＪ国際投信
242311184,0.0735,ピクテ－ｉＴｒｕｓｔインド株式,null,null,null
258311081,0.0717,アムンディ－アムンディ・アラブ株式ファンド,null,null,null
202312188,0.0702,日興－グローバル・スペース株式ファンド（１年決算型）,1.925%,2028/06/07,日興アセットマネジメント
264311137,0.07,三井住友ＴＡＭ－米国成長株式ファンド,null,null,null
23431218A,0.0697,ドイチェ－ＤＷＳ,null,null,null
245312138,0.0695,ＳＯＭＰＯ－日本金融ハイブリッド証券オープン（毎月分配型）円ヘッジなしコース,0.924%,2023/06/14,ＳＯＭＰＯアセットマネジメント
204317188,0.069,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
202314208,0.0689,日興－インデックスファンドＮＡＳＤＡＱ１００（アメリカ株式）,null,null,null
20331A211,0.0688,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.44％以内,無期限,三菱ＵＦＪ国際投信
225316203,0.0684,農林中金－ＮＺＡＭ・ベータ,0.44％,無期限,農林中金全共連アセットマネジメント
203316136,0.0684,三菱ＵＦＪ国際－三菱ＵＦＪ,2.002%程度,2024/06/24,三菱ＵＦＪ国際投信
297312216,0.0683,ＰａｙＰａｙ－ＰａｙＰａｙ投信,null,null,null
232315984,0.068,フィデリティ－フィデリティ・ＵＳハイ・イールド・ファンド,1.738%,無期限,フィデリティ投信
232313135,0.0679,フィデリティ－フィデリティ・ＵＳハイ・イールド・ファンド（資産成長型）,1.65%,無期限,フィデリティ投信
283311049,0.0676,イーストスプリ－イーストスプリング・インド株式オープン,null,null,null
24831207C,0.0673,ブラックロック－ブラックロック天然資源株ファンド,null,null,null
20231116C,0.0669,日興－グローバル・フィンテック株式ファンド,1.925%,2026/12/07,日興アセットマネジメント
202312179,0.0667,日興－グローバル・フィンテック株式ファンド（年２回決算型）,null,null,null
289311077,0.0665,ＳＢＩ－ＳＢＩインド＆ベトナム株ファンド,null,null,null
229311148,0.0656,ニッセイ－ニッセイ・インド厳選株式ファンド,null,null,null
239312065,0.0653,アライアンス－アライアンス・バーンスタイン・米国成長株投信Ｂコース為替ヘッジなし,1.727%,2034/06/15,アライアンス・バーンスタイン
202312177,0.0653,日興－ゴールド・ファンド（為替ヘッジなし）,0.407%,2027/07/08,日興アセットマネジメント
229312206,0.0652,ニッセイ－＜購入・換金手数料なし＞ニッセイ世界株式ファンド（ＧＤＰ型バスケット）,0.1144％以内,無期限,ニッセイアセットマネジメント
26431917B,0.0651,三井住友ＴＡＭ－ＳＭＴ,0.275%,無期限,三井住友トラスト・アセットマネジメント
239312149,0.0649,アライアンス－アライアンス・バーンスタイン米国成長株投信Ｄ毎月Ｈ無予想分配金提示,1.727%,2034/06/15,アライアンス・バーンスタイン
203313188,0.0648,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.792%以内,無期限,三菱ＵＦＪ国際投信
251312073,0.0648,ＨＳＢＣ－ＨＳＢＣ,null,null,null
24831M139,0.0647,ブラックロック－ｉシェアーズ,0.5085%程度,無期限,ブラックロック・ジャパン
