sbi_trust_code,ER,title,fee,last_day,firm
20431B214,0.3539,大和－ｉＦｒｅｅレバレッジ,1.224％程度,無期限,大和アセットマネジメント
204315213,0.231,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
101314203,0.1662,野村－野村ブル・ベア,1.155％,2023/03/15,野村アセットマネジメント
250311092,0.1588,ＵＢＳ－ＵＢＳ原油先物ファンド,null,null,null
20231217B,0.1508,日興－深セン・イノベーション株式ファンド（１年決算型）,null,null,null
101315203,0.1237,野村－野村ブル・ベア,1.122％,2023/03/15,野村アセットマネジメント
289312203,0.1229,ＳＢＩ－ＳＢＩ中国テクノロジー株ファンド,null,null,null
251311021,0.1226,ＨＳＢＣ－ＨＳＢＣ,null,null,null
24831L139,0.1092,ブラックロック－ｉシェアーズ,1.0085%程度,無期限,ブラックロック・ジャパン
204314214,0.1046,大和－テーマレバレッジ,1.4055％程度,2026/03/27,大和アセットマネジメント
27931C01A,0.1023,三井住友ＤＳ－三井住友・ニュー・チャイナ・ファンド,null,null,null
29A311128,0.0867,キャピタル－世界シェールガス株ファンド,null,null,null
21731798B,0.083,ＪＰＭ－ＪＰＭアジア株・アクティブ・オープン,null,null,null
289311217,0.0827,ＳＢＩ－ＳＢＩ・中国Ａ株インデックス・ファンド,0.4138％程度,無期限,ＳＢＩアセットマネジメント
2AB311171,0.0806,ファイブスター－ベトナム・ロータス・ファンド,null,null,null
204314181,0.0804,大和－ｉＦｒｅｅＡｃｔｉｖｅ,1.221%,2028/01/28,大和アセットマネジメント
20431216C,0.0798,大和－ベトナム株ファンド,null,null,null
20331E13A,0.0797,三菱ＵＦＪ国際－三菱ＵＦＪ,1.815%,2023/10/11,三菱ＵＦＪ国際投信
101312203,0.0791,野村－野村ブル・ベア,1.155％,2023/03/15,野村アセットマネジメント
20431820A,0.0782,大和－ＮＡＳＤＡＱ１００,通常時1.52375％以内／安定運用時0.088％,2023/10/20,大和アセットマネジメント
20331713A,0.0751,三菱ＵＦＪ国際－三菱ＵＦＪ,1.815%,2023/10/11,三菱ＵＦＪ国際投信
29A311148,0.0742,キャピタル－ベトナム成長株インカムファンド,null,null,null
217311917,0.0742,ＪＰＭ－ＪＰＭアジア・成長株・ファンド,null,null,null
247311156,0.0738,Ｏｎｅ－ＤＩＡＭベトナム株式ファンド,null,null,null
203312215,0.0728,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
204314086,0.0725,大和－“ＲＩＣＩ”コモディティ・ファンド,null,null,null
210311134,0.0707,Ｔ＆Ｄ－日本債券ベアファンド（５倍型）,null,null,null
210311202,0.0699,Ｔ＆Ｄ－Ｔ＆Ｄ,null,null,null
26431113C,0.0653,三井住友ＴＡＭ－ＳＭＴＡＭコモディティ・オープン,null,null,null
279312107,0.0641,三井住友ＤＳ－ベトナム株式ファンド,null,null,null
203311156,0.063,三菱ＵＦＪ国際－ｅＭＡＸＩＳプラス,0.9%程度,無期限,三菱ＵＦＪ国際投信
204311181,0.0621,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
233311963,0.0571,ベアリングス－アジア未来成長株式ファンド,null,null,null
209312134,0.0557,岡三－シェール関連株オープン,null,null,null
