sbi_trust_code,ER,title,fee,last_day,firm
20431B214,0.5091,大和－ｉＦｒｅｅレバレッジ,1.224％程度,無期限,大和アセットマネジメント
204315213,0.2975,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
204314208,0.2252,大和－ｉＦｒｅｅレバレッジ,1.275％以内,無期限,大和アセットマネジメント
28931317C,0.2039,ＳＢＩ－ＳＢＩ,0.968%,2023/12/05,ＳＢＩアセットマネジメント
29I31115A,0.2035,楽天－楽天日本株４．３倍ブル,1.243%,2025/06/13,楽天投信投資顧問
203312215,0.1891,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
204312217,0.1821,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
289313218,0.1817,ＳＢＩ－ＳＢＩ・ＧＳ,0.48％程度,無期限,ＳＢＩアセットマネジメント
2AB311171,0.1805,ファイブスター－ベトナム・ロータス・ファンド,null,null,null
204311181,0.1785,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
250311092,0.1702,ＵＢＳ－ＵＢＳ原油先物ファンド,null,null,null
20431216C,0.1687,大和－ベトナム株ファンド,null,null,null
29A311148,0.1624,キャピタル－ベトナム成長株インカムファンド,null,null,null
20331419B,0.1622,三菱ＵＦＪ国際－米国ＩＰＯニューステージ・ファンド＜為替ヘッジなし＞年２回決算型,null,null,null
289312218,0.1621,ＳＢＩ－ＳＢＩ・ＧＳ,0.48％程度,無期限,ＳＢＩアセットマネジメント
20331319B,0.1619,三菱ＵＦＪ国際－米国ＩＰＯニューステージ・ファンド＜為替ヘッジなし＞資産成長型,null,null,null
202311207,0.1618,日興－デジタル・トランスフォーメーション株式ファンド,1.7985％,2030/06/07,日興アセットマネジメント
251311021,0.1617,ＨＳＢＣ－ＨＳＢＣ,null,null,null
203317211,0.1594,三菱ＵＦＪ国際－ベイリー・ギフォード世界長期成長株ファンド（予想分配金提示型）,1.6445％程度,2039/01/25,三菱ＵＦＪ国際投信
202311215,0.1589,日興－デジタル・トランスフォーメーション株式ファンド（予想分配金提示型）,1.7985％,2030/06/07,日興アセットマネジメント
203311191,0.1587,三菱ＵＦＪ国際－ベイリー・ギフォード世界長期成長株ファンド,1.6445%程度,2039/01/25,三菱ＵＦＪ国際投信
203313215,0.1586,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
204314214,0.1581,大和－テーマレバレッジ,1.4055％程度,2026/03/27,大和アセットマネジメント
247311156,0.1574,Ｏｎｅ－ＤＩＡＭベトナム株式ファンド,null,null,null
29A311128,0.1566,キャピタル－世界シェールガス株ファンド,null,null,null
204313215,0.1505,大和－テーマレバレッジ,1.4055％程度,2026/03/27,大和アセットマネジメント
20231217B,0.1481,日興－深セン・イノベーション株式ファンド（１年決算型）,null,null,null
279311169,0.1476,三井住友ＤＳ－グローバルＡＩファンド,null,null,null
210311202,0.1462,Ｔ＆Ｄ－Ｔ＆Ｄ,null,null,null
247312201,0.1439,Ｏｎｅ－Ｏｎｅフォーカス,null,null,null
279312107,0.1436,三井住友ＤＳ－ベトナム株式ファンド,null,null,null
289311218,0.141,ＳＢＩ－ＳＢＩ・ＧＳ,0.48％程度,無期限,ＳＢＩアセットマネジメント
29I311096,0.1404,楽天－楽天日本株トリプル・ブル,1.023%,2025/06/13,楽天投信投資顧問
21731798B,0.1374,ＪＰＭ－ＪＰＭアジア株・アクティブ・オープン,null,null,null
27931419A,0.1356,三井住友ＤＳ－グローバルＡＩファンド（予想分配金提示型）,null,null,null
20231314B,0.1336,日興－インデックスファンドＭＬＰ（１年決算型）,null,null,null
27931C01A,0.1318,三井住友ＤＳ－三井住友・ニュー・チャイナ・ファンド,null,null,null
24831L139,0.1317,ブラックロック－ｉシェアーズ,1.0085%程度,無期限,ブラックロック・ジャパン
20231116C,0.131,日興－グローバル・フィンテック株式ファンド,1.925%,2026/12/07,日興アセットマネジメント
202312179,0.1308,日興－グローバル・フィンテック株式ファンド（年２回決算型）,null,null,null
209312134,0.1302,岡三－シェール関連株オープン,null,null,null
26431218A,0.1297,三井住友ＴＡＭ－ＳＭＴ,null,null,null
217311917,0.1283,ＪＰＭ－ＪＰＭアジア・成長株・ファンド,null,null,null
247316169,0.127,Ｏｎｅ－グローバル・ハイクオリティ成長株式ファンド（為替ヘッジなし）,null,null,null
235311135,0.1231,ＧＳ－ＧＳ,2.0075%,無期限,ゴールドマン・サックス・アセット・マネジメント
203313195,0.1229,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.792%以内,無期限,三菱ＵＦＪ国際投信
203312223,0.1214,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
203315177,0.1187,三菱ＵＦＪ国際－サイバーセキュリティ株式オープン（為替ヘッジなし）,1.87%,2032/06/04,三菱ＵＦＪ国際投信
