sbi_trust_code,ER,title,fee,last_day,firm
20431B214,0.4445,大和－ｉＦｒｅｅレバレッジ,1.224％程度,無期限,大和アセットマネジメント
204315213,0.2779,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
101314203,0.1691,野村－野村ブル・ベア,1.155％,2023/03/15,野村アセットマネジメント
20231217B,0.1624,日興－深セン・イノベーション株式ファンド（１年決算型）,null,null,null
289312203,0.1544,ＳＢＩ－ＳＢＩ中国テクノロジー株ファンド,null,null,null
251311021,0.1449,ＨＳＢＣ－ＨＳＢＣ,null,null,null
289311217,0.1293,ＳＢＩ－ＳＢＩ・中国Ａ株インデックス・ファンド,0.4138％程度,無期限,ＳＢＩアセットマネジメント
204311181,0.1241,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
250311092,0.1228,ＵＢＳ－ＵＢＳ原油先物ファンド,null,null,null
101315203,0.1183,野村－野村ブル・ベア,1.122％,2023/03/15,野村アセットマネジメント
204314214,0.118,大和－テーマレバレッジ,1.4055％程度,2026/03/27,大和アセットマネジメント
27931C01A,0.1147,三井住友ＤＳ－三井住友・ニュー・チャイナ・ファンド,null,null,null
20331E13A,0.0989,三菱ＵＦＪ国際－三菱ＵＦＪ,1.815%,2023/10/11,三菱ＵＦＪ国際投信
203313215,0.0973,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
289312218,0.0968,ＳＢＩ－ＳＢＩ・ＧＳ,0.48％程度,無期限,ＳＢＩアセットマネジメント
203312215,0.096,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
20331713A,0.0944,三菱ＵＦＪ国際－三菱ＵＦＪ,1.815%,2023/10/11,三菱ＵＦＪ国際投信
204314181,0.0932,大和－ｉＦｒｅｅＡｃｔｉｖｅ,1.221%,2028/01/28,大和アセットマネジメント
21731798B,0.0907,ＪＰＭ－ＪＰＭアジア株・アクティブ・オープン,null,null,null
20431216C,0.0893,大和－ベトナム株ファンド,null,null,null
24831L139,0.0884,ブラックロック－ｉシェアーズ,1.0085%程度,無期限,ブラックロック・ジャパン
204314208,0.0873,大和－ｉＦｒｅｅレバレッジ,1.275％以内,無期限,大和アセットマネジメント
2AB311171,0.0837,ファイブスター－ベトナム・ロータス・ファンド,null,null,null
210311202,0.0826,Ｔ＆Ｄ－Ｔ＆Ｄ,null,null,null
28931117C,0.0803,ＳＢＩ－ＳＢＩ・新興国株式インデックス・ファンド,0.176%程度,無期限,ＳＢＩアセットマネジメント
210311134,0.0798,Ｔ＆Ｄ－日本債券ベアファンド（５倍型）,null,null,null
217311917,0.0794,ＪＰＭ－ＪＰＭアジア・成長株・ファンド,null,null,null
29A311148,0.0783,キャピタル－ベトナム成長株インカムファンド,null,null,null
289312135,0.0771,ＳＢＩ－ＥＸＥ－ｉ新興国株式ファンド,null,null,null
247312201,0.075,Ｏｎｅ－Ｏｎｅフォーカス,null,null,null
247311156,0.074,Ｏｎｅ－ＤＩＡＭベトナム株式ファンド,null,null,null
204312217,0.0739,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
29A311128,0.0728,キャピタル－世界シェールガス株ファンド,null,null,null
289311218,0.0721,ＳＢＩ－ＳＢＩ・ＧＳ,0.48％程度,無期限,ＳＢＩアセットマネジメント
289313218,0.0711,ＳＢＩ－ＳＢＩ・ＧＳ,0.48％程度,無期限,ＳＢＩアセットマネジメント
101312203,0.0691,野村－野村ブル・ベア,1.155％,2023/03/15,野村アセットマネジメント
279311169,0.0657,三井住友ＤＳ－グローバルＡＩファンド,null,null,null
247311163,0.0656,Ｏｎｅ－たわらノーロード,0.374%以内,無期限,アセットマネジメントＯｎｅ
20331C177,0.0651,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.187%以内,無期限,三菱ＵＦＪ国際投信
20331809A,0.0648,三菱ＵＦＪ国際－ｅＭＡＸＩＳ新興国株式インデックス,null,null,null
279312107,0.0647,三井住友ＤＳ－ベトナム株式ファンド,null,null,null
22931517A,0.0633,ニッセイ－＜購入・換金手数料なし＞ニッセイ新興国株式インデックスファンド,0.2079%以内,無期限,ニッセイアセットマネジメント
26431208C,0.0631,三井住友ＴＡＭ－ＳＭＴ,null,null,null
203313195,0.0607,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.792%以内,無期限,三菱ＵＦＪ国際投信
27931419A,0.0587,三井住友ＤＳ－グローバルＡＩファンド（予想分配金提示型）,null,null,null
20331319B,0.0578,三菱ＵＦＪ国際－米国ＩＰＯニューステージ・ファンド＜為替ヘッジなし＞資産成長型,null,null,null
20331419B,0.0578,三菱ＵＦＪ国際－米国ＩＰＯニューステージ・ファンド＜為替ヘッジなし＞年２回決算型,null,null,null
202311207,0.0568,日興－デジタル・トランスフォーメーション株式ファンド,1.7985％,2030/06/07,日興アセットマネジメント
242311184,0.0564,ピクテ－ｉＴｒｕｓｔインド株式,null,null,null
202311215,0.0558,日興－デジタル・トランスフォーメーション株式ファンド（予想分配金提示型）,1.7985％,2030/06/07,日興アセットマネジメント
21031A169,0.0546,Ｔ＆Ｄ－ロボット戦略,2.212%程度＋成功報酬,2026/08/24,Ｔ＆Ｄアセットマネジメント
235311135,0.0531,ＧＳ－ＧＳ,2.0075%,無期限,ゴールドマン・サックス・アセット・マネジメント
29Y316137,0.0515,カレラ－カタール・アブダビ株式ファンド,null,null,null
203311156,0.0512,三菱ＵＦＪ国際－ｅＭＡＸＩＳプラス,0.9%程度,無期限,三菱ＵＦＪ国際投信
20431R169,0.0511,大和－ｉＦｒｅｅ,0.374%,無期限,大和アセットマネジメント
20331218C,0.0508,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.792%以内,無期限,三菱ＵＦＪ国際投信
203316126,0.0506,三菱ＵＦＪ国際－三菱ＵＦＪ,1.63%程度,2027/06/18,三菱ＵＦＪ国際投信
204314086,0.0492,大和－“ＲＩＣＩ”コモディティ・ファンド,null,null,null
203312968,0.0492,三菱ＵＦＪ国際－三菱ＵＦＪ,null,null,null
233311963,0.0478,ベアリングス－アジア未来成長株式ファンド,null,null,null
26431218A,0.0473,三井住友ＴＡＭ－ＳＭＴ,null,null,null
27931603B,0.0462,三井住友ＤＳ－トヨタ自動車／トヨタグループ株式ファンド,null,null,null
242313177,0.046,ピクテ－ｉＴｒｕｓｔプレミアム・ブランド,null,null,null
258311081,0.0449,アムンディ－アムンディ・アラブ株式ファンド,null,null,null
204317188,0.0421,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
20331A211,0.042,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.44％以内,無期限,三菱ＵＦＪ国際投信
202314208,0.042,日興－インデックスファンドＮＡＳＤＡＱ１００（アメリカ株式）,null,null,null
225316203,0.0417,農林中金－ＮＺＡＭ・ベータ,0.44％,無期限,農林中金全共連アセットマネジメント
297312216,0.0416,ＰａｙＰａｙ－ＰａｙＰａｙ投信,null,null,null
203319211,0.0411,三菱ＵＦＪ国際－サイバーセキュリティ株式オープン為替ヘッジなし予想分配金提示型,null,null,null
203315177,0.041,三菱ＵＦＪ国際－サイバーセキュリティ株式オープン（為替ヘッジなし）,1.87%,2032/06/04,三菱ＵＦＪ国際投信
247316169,0.0408,Ｏｎｅ－グローバル・ハイクオリティ成長株式ファンド（為替ヘッジなし）,null,null,null
232315984,0.0401,フィデリティ－フィデリティ・ＵＳハイ・イールド・ファンド,1.738%,無期限,フィデリティ投信
232313135,0.0399,フィデリティ－フィデリティ・ＵＳハイ・イールド・ファンド（資産成長型）,1.65%,無期限,フィデリティ投信
20331318C,0.0395,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.792%以内,無期限,三菱ＵＦＪ国際投信
264311137,0.0395,三井住友ＴＡＭ－米国成長株式ファンド,null,null,null
26431218C,0.0389,三井住友ＴＡＭ－ＮＷＱフレキシブル・インカムファンド為替ヘッジなし（毎月決算型）,1.6775%程度,2028/11/27,三井住友トラスト・アセットマネジメント
26431117C,0.0383,三井住友ＴＡＭ－次世代通信関連,1.848%程度,2028/01/07,三井住友トラスト・アセットマネジメント
217311117,0.0382,ＪＰＭ－ＪＰＭアジア・オセアニア高配当株式ファンド,1.617%,無期限,ＪＰモルガン・アセット・マネジメント
26431113C,0.0379,三井住友ＴＡＭ－ＳＭＴＡＭコモディティ・オープン,null,null,null
209312134,0.0377,岡三－シェール関連株オープン,null,null,null
26431917B,0.0371,三井住友ＴＡＭ－ＳＭＴ,0.275%,無期限,三井住友トラスト・アセットマネジメント
203311112,0.0371,三菱ＵＦＪ国際－三菱ＵＦＪ,null,null,null
258311008,0.0371,アムンディ－アムンディ・ターゲット・ジャパン・ファンド,null,null,null
202312177,0.0371,日興－ゴールド・ファンド（為替ヘッジなし）,0.407%,2027/07/08,日興アセットマネジメント
24831M139,0.0368,ブラックロック－ｉシェアーズ,0.5085%程度,無期限,ブラックロック・ジャパン
239312149,0.0364,アライアンス－アライアンス・バーンスタイン米国成長株投信Ｄ毎月Ｈ無予想分配金提示,1.727%,2034/06/15,アライアンス・バーンスタイン
201318164,0.0364,野村－野村ＰＩＭＣＯ・世界インカム戦略ファンドＢコース為替ヘッジなし年２回決算型,null,null,null
239312065,0.0361,アライアンス－アライアンス・バーンスタイン・米国成長株投信Ｂコース為替ヘッジなし,1.727%,2034/06/15,アライアンス・バーンスタイン
202312188,0.0359,日興－グローバル・スペース株式ファンド（１年決算型）,1.925%,2028/06/07,日興アセットマネジメント
283311049,0.0349,イーストスプリ－イーストスプリング・インド株式オープン,null,null,null
247313046,0.0347,Ｏｎｅ－みずほＵＳハイイールドオープンＢコース（為替ヘッジなし）,1.54%,無期限,アセットマネジメントＯｎｅ
245312138,0.034,ＳＯＭＰＯ－日本金融ハイブリッド証券オープン（毎月分配型）円ヘッジなしコース,0.924%,2023/06/14,ＳＯＭＰＯアセットマネジメント
204312211,0.0334,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
229312206,0.0332,ニッセイ－＜購入・換金手数料なし＞ニッセイ世界株式ファンド（ＧＤＰ型バスケット）,0.1144％以内,無期限,ニッセイアセットマネジメント
204313181,0.0327,大和－ｉＦｒｅｅＡｃｔｉｖｅ,null,null,null
229311148,0.0326,ニッセイ－ニッセイ・インド厳選株式ファンド,null,null,null
218312991,0.0315,インベスコ－インベスコ,1.903%,無期限,インベスコ・アセット・マネジメント
28331109B,0.0305,イーストスプリ－イーストスプリング・インドネシア株式オープン,null,null,null
29C31119C,0.03,レオス－ひふみワールド＋,1.628％以内,無期限,レオス・キャピタルワークス
268311216,0.0285,朝日－朝日Ｎｖｅｓｔ,null,null,null
sbi_trust_code,ER,title,fee,last_day,firm
20431B214,0.4445,大和－ｉＦｒｅｅレバレッジ,1.224％程度,無期限,大和アセットマネジメント
204315213,0.2779,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
101314203,0.1691,野村－野村ブル・ベア,1.155％,2023/03/15,野村アセットマネジメント
20231217B,0.1624,日興－深セン・イノベーション株式ファンド（１年決算型）,null,null,null
289312203,0.1544,ＳＢＩ－ＳＢＩ中国テクノロジー株ファンド,null,null,null
251311021,0.1449,ＨＳＢＣ－ＨＳＢＣ,null,null,null
289311217,0.1293,ＳＢＩ－ＳＢＩ・中国Ａ株インデックス・ファンド,0.4138％程度,無期限,ＳＢＩアセットマネジメント
204311181,0.1241,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
250311092,0.1228,ＵＢＳ－ＵＢＳ原油先物ファンド,null,null,null
101315203,0.1183,野村－野村ブル・ベア,1.122％,2023/03/15,野村アセットマネジメント
204314214,0.118,大和－テーマレバレッジ,1.4055％程度,2026/03/27,大和アセットマネジメント
27931C01A,0.1147,三井住友ＤＳ－三井住友・ニュー・チャイナ・ファンド,null,null,null
